cut_in_speed,wind_curve_V0,wind_curve_b,powerScale,error_percent,error_abs,kde_error
3.604,7.7,0.828,0.918,69.6,41306.0,681.0
2.283,7.676,0.654,0.917,69.7,41384.0,643.0
3.461,7.581,0.569,0.893,70.1,41621.0,663.0
2.059,6.966,0.424,0.861,70.3,41742.0,776.0
2.573,6.823,1.072,0.82,70.4,41780.0,868.0
3.352,6.521,0.231,0.904,70.7,41959.0,993.0
2.071,8.375,0.959,0.982,71.0,42123.0,671.0
3.275,4.889,0.249,0.831,71.2,42263.0,1152.0
3.319,7.649,0.954,0.895,71.2,42266.0,715.0
3.755,7.585,0.712,0.884,71.3,42302.0,681.0
3.935,7.301,0.447,0.908,71.7,42524.0,732.0
2.01,7.485,0.482,0.883,71.9,42668.0,672.0
3.748,7.043,0.651,0.87,71.9,42688.0,767.0
3.79,7.068,0.36,0.905,72.1,42775.0,803.0
3.876,7.201,1.198,0.857,72.5,43032.0,817.0
2.951,7.2,0.367,0.925,72.5,43054.0,771.0
2.78,7.972,1.066,0.934,72.6,43084.0,724.0
3.566,7.688,0.382,0.956,72.7,43115.0,710.0
3.41,6.631,0.888,0.812,72.8,43210.0,881.0
2.718,7.155,0.939,0.836,72.8,43211.0,775.0
3.678,8.205,0.438,0.98,73.0,43301.0,634.0
2.363,7.095,0.806,0.869,73.4,43560.0,765.0
2.721,7.565,1.05,0.908,73.4,43577.0,748.0
3.733,7.125,1.021,0.837,73.5,43648.0,799.0
3.977,6.769,0.326,0.905,73.6,43675.0,873.0
3.217,6.892,0.562,0.864,73.8,43773.0,782.0
3.578,6.449,0.392,0.84,74.0,43911.0,880.0
3.558,7.724,0.453,0.956,74.0,43928.0,678.0
3.306,6.706,0.202,0.955,74.3,44089.0,1019.0
3.623,8.232,0.738,0.994,74.4,44165.0,639.0
2.938,6.515,0.836,0.821,74.8,44365.0,889.0
3.345,7.238,0.479,0.915,74.9,44452.0,728.0
2.243,6.775,0.274,0.923,75.0,44492.0,907.0
2.877,7.842,0.844,0.955,75.5,44792.0,690.0
2.238,7.295,0.494,0.891,75.5,44795.0,704.0
3.275,7.564,0.384,0.93,75.5,44809.0,725.0
3.101,8.181,0.959,0.985,75.9,45015.0,701.0
3.901,7.446,1.02,0.911,75.9,45034.0,766.0
3.256,6.767,0.57,0.879,76.1,45135.0,805.0
3.353,6.858,0.666,0.847,76.1,45142.0,797.0
2.488,6.938,0.752,0.879,76.1,45164.0,785.0
2.083,7.357,0.649,0.9,76.4,45325.0,698.0
3.162,8.14,0.624,0.985,76.5,45422.0,629.0
2.796,7.323,0.631,0.91,76.6,45449.0,707.0
2.532,7.437,1.14,0.888,76.6,45457.0,787.0
2.789,7.014,1.187,0.877,76.7,45527.0,844.0
3.091,6.946,0.918,0.839,77.0,45683.0,810.0
2.456,6.83,0.664,0.853,77.2,45842.0,793.0
2.886,6.93,0.377,0.908,77.3,45892.0,803.0
3.669,6.482,1.176,0.832,77.3,45897.0,947.0
2.208,6.296,0.354,0.863,77.4,45944.0,916.0
3.788,6.959,1.106,0.875,77.4,45948.0,842.0
2.398,6.957,1.109,0.839,77.7,46134.0,838.0
2.235,6.872,0.216,0.967,77.8,46146.0,984.0
2.474,6.695,0.559,0.841,78.0,46271.0,809.0
2.526,7.378,1.149,0.895,78.0,46287.0,799.0
