cut_in_speed,wind_curve_V0,wind_curve_b,powerScale,error_percent,error_abs,kde_error
3.959,7.535,0.857,0.827,-12.9,87487.0,109.0
2.354,7.703,1.03,0.865,-13.1,88783.0,195.0
2.292,7.787,1.144,0.89,-13.3,90326.0,224.0
2.059,8.389,0.536,0.957,-13.3,90352.0,129.0
2.158,6.14,0.265,0.827,13.5,91358.0,563.0
3.709,4.82,0.231,0.809,13.6,92389.0,529.0
3.574,6.699,0.261,0.94,13.7,92467.0,468.0
2.913,7.221,0.564,0.978,13.7,92477.0,94.0
2.98,5.59,0.219,0.827,13.9,94108.0,600.0
3.062,6.939,1.158,0.931,14.0,94488.0,180.0
2.178,6.277,0.879,0.803,14.0,95113.0,98.0
3.555,7.911,0.308,0.83,-14.1,95145.0,473.0
3.86,6.79,0.607,0.919,14.1,95439.0,126.0
2.782,6.771,0.645,0.895,14.1,95445.0,71.0
2.375,6.8,0.911,0.903,14.3,96771.0,106.0
2.337,6.829,0.662,0.904,14.4,97268.0,60.0
3.956,7.87,0.743,0.883,-14.5,97987.0,76.0
3.817,7.572,0.991,0.823,-14.6,98578.0,169.0
3.364,8.432,0.59,0.983,-14.6,98998.0,73.0
3.548,7.673,0.953,0.84,-14.7,99564.0,165.0
3.114,8.879,0.237,0.886,-14.8,100121.0,605.0
2.007,8.139,0.861,0.95,-15.0,101511.0,169.0
2.954,8.351,0.426,0.9,-15.0,101511.0,246.0
3.407,7.67,1.08,0.845,-15.0,101898.0,204.0
3.503,8.03,0.407,0.853,-15.1,101996.0,290.0
2.401,7.168,1.079,0.992,15.1,102007.0,169.0
2.873,8.046,1.112,0.944,-15.1,102165.0,228.0
3.793,7.984,0.869,0.91,-15.2,102904.0,151.0
3.711,7.8,0.297,0.808,-15.2,103157.0,503.0
3.339,8.144,1.196,0.981,-15.3,103391.0,247.0
3.725,8.696,0.294,0.919,-15.3,103513.0,456.0
3.816,8.594,0.422,0.965,-15.3,103847.0,224.0
3.165,6.169,0.253,0.882,15.4,104608.0,516.0
2.408,6.898,0.204,0.924,15.5,105040.0,626.0
3.813,7.852,0.609,0.851,-15.6,105435.0,61.0
2.341,6.582,1.088,0.866,15.6,105746.0,152.0
2.842,7.661,1.049,0.834,-15.6,105879.0,198.0
3.755,8.443,0.381,0.916,-15.6,105936.0,304.0
3.441,8.528,0.322,0.892,-15.9,107326.0,416.0
2.003,6.855,0.507,0.918,16.2,109400.0,164.0
3.638,7.052,0.742,0.98,16.2,109647.0,103.0
2.901,6.811,1.04,0.921,16.3,110516.0,146.0
3.707,8.175,1.15,0.975,-16.3,110646.0,240.0
2.468,5.993,0.201,0.859,16.4,111132.0,645.0
3.441,8.361,0.31,0.855,-16.4,111200.0,453.0
3.827,6.758,0.445,0.948,16.4,111261.0,258.0
2.313,8.477,0.621,0.976,-16.7,112772.0,102.0
3.59,8.06,0.334,0.83,-16.7,113122.0,423.0
2.993,6.483,0.534,0.876,16.8,113719.0,178.0
2.568,8.325,0.933,0.991,-16.9,114355.0,200.0
2.985,6.73,0.246,0.937,16.9,114563.0,515.0
2.701,6.366,1.189,0.836,17.2,116582.0,170.0
3.401,5.401,0.286,0.827,17.2,116760.0,478.0
3.734,6.846,0.998,0.938,17.3,116863.0,138.0
2.818,5.768,0.247,0.849,17.3,116999.0,554.0
2.342,7.041,0.958,0.977,17.3,117009.0,130.0
2.471,8.26,1.141,0.987,-17.3,117330.0,245.0
2.903,6.243,0.779,0.828,17.4,117732.0,111.0
3.2,7.852,0.567,0.817,-17.6,118895.0,109.0
3.865,6.895,1.1,0.954,17.8,120330.0,163.0
2.228,8.899,0.322,0.896,-17.9,121002.0,438.0
2.554,7.831,1.172,0.859,-17.9,121055.0,236.0
3.126,6.301,0.522,0.86,17.9,121114.0,206.0
2.164,8.213,0.537,0.869,-17.9,121200.0,152.0
3.069,8.753,0.505,0.986,-18.0,121552.0,130.0
3.186,9.633,0.275,0.989,-18.1,122796.0,479.0
3.056,8.521,0.475,0.919,-18.2,123166.0,173.0
3.279,8.228,0.865,0.938,-18.3,124044.0,173.0
3.374,8.059,0.899,0.894,-18.4,124705.0,174.0
2.977,8.56,0.503,0.934,-18.5,125415.0,144.0
3.707,6.871,0.457,0.98,18.5,125538.0,237.0
3.455,6.51,0.852,0.886,18.9,127704.0,130.0
2.19,9.94,0.204,0.895,-19.1,129102.0,710.0
